Column1,Name,Description,Type,Reference,Sports,Spiritual,
75,Society of Women Engineers,"The mission of the Society of Women Engineers Duke Section is as follows. First, to inform young women, their parents, counselors, and the general public, of the qualifications and achievements of women engineers and the opportunities open to them. Second, to serve as a center of information on women in engineering. Lastly, to encourage women engineers to attain high levels of education and professional achievement.",Group,http://sites.duke.edu/dukeswe/,0,0,
76,Synapse,"The mission of Synapse is to foster student interest in neuroscience by providing opportunities for students to engage with peers and professionals in the field of neuroscience, and to foster neuroscience interest in the community through service activities.",Group,http://sites.duke.edu/dukesynapse,0,0,
77,"Females Excelling More in Math, Engineering, and Science","Existing disparities in the STEM (science, technology, engineering, and math) fields underscore the need for outreach programs to help engage young students in such areas. Started in 2006 , FEMMES+ (Females and Allies Excelling More in Math, Engineering and Science) is a student-led organization at Duke University that hosts educational outreach programs related to math, science, and engineering for 4th-12th grade students in the Triangle area. FEMMES+ seeks to improve diverse student participation in STEM subjects with various programming including: an annual one-day Capstone event, an After-School program, a Saturday program, a hackathon for high school students, a mentorship program, and a summer camp program.",Group,http://sites.duke.edu/femmes/,0,0,
78,Duke InterVarsity Christian Fellowship,"To be a witnessing community that transforms lives, our campus, and the world through the love and power of Jesus Christ.",Group,http://sites.duke.edu/ivcf/,0,0,
79,Mi Gente,"Mi Gente was founded in 1992 as the central Latinx organization at Duke University. Mi Gente's mission is to provide a sense of community among Latinxs at Duke as well as to promote awareness and sponsor activities about Latinx cultural, political, educational, and social issues. It is a forum for individuals to explore the diverse histories, identities, and traditions that make up the Latinx world.",Group,http://sites.duke.edu/migente/,0,0,
80,Duke Pre Physical Therapy Association,"The Duke Pre-Physical Therapy Association aims to provide a supportive network for students interested in physical therapy careers. Through the association, students will have the opportunity to meet practicing physical therapists, connect with volunteer experience, participate in physical therapy events, learn about physical therapy requirements, and meet other students and faculty involved in physical therapy.",Group,http://sites.duke.edu/prept/,0,0,
81,Sanford Journal of Public Policy,"The Sanford Journal of Public Policy is a web-based academic periodical that empowers scholars and practitioners to engage in policy discussions, publish research, and express their views on todays policy challenges. The Journal solicits content in a variety of formats, including academic articles, interviews with policy professionals, reviews of recently-published books, and op-ed posts focused on emerging policy issues. The Sanford Journal provides students with a medium for engaging in timely discussion and analysis throughout the year.",Group,http://sites.duke.edu/sjpp/,0,0,
82,Club Triathlon,"Our mission is the make triathlon a sport for anyone and everyone! We strive to be the best athlete we can, all while building relationships and having a blast.",Group,http://sites.duke.edu/triathlon/,1,0,
83,Club Womxn's Ultimate Frisbee,"To know about it, reach out to people from the reference link.",Group,http://sites.duke.edu/wultimate/,1,0,
84,DukeFish,"To promote sustainable fisheries and consumer practices by reaching out to our peers, community members, and local industries through education, outreach, and community participation.",Group,http://sites.nicholas.duke.edu/dukefish/,0,0,
85,Green Roof and Orchard Workforce,"A community dedicated to sustainable urban farming at the Nicholas School. Our mission is to work with Duke Grounds on the edible plantings in these areas, to educate our community about them, and to enjoy their produce!",Group,http://sites.nicholas.duke.edu/GROW,0,0,
86,Duke Friends of Israel,"Duke Friends of Israel (hereafter referred to as DFI) is a non-partisan, secular organization that serves to educate Duke students about Israel. DFI has a focus on highlighting Israeli society, politics, and culture from a non sectarian viewpoint. DFI serves as an educational tool for the campus community in exploring the issues pertaining to Israel and the Middle East. Ultimately, DFI seeks to provide a comprehensive relationship between the Duke University student body and the multifaceted affairs of the State of Israel.",Group,http://studentaffairs.duke.edu/jewishlife,0,0,
87,TAMID at Duke,The TAMID Group is a nonprofit organization that develops the professional skills of undergraduate students through hands-on interaction with the Israeli economy.,Group,http://tamidgroup.org/,0,0,
88,TEDxDuke Coordinating Committee,"Much like the TED conference, TEDxDuke is a program that draws some of Duke Universitys and Durhams most curious, creative, and progressive thinkers together for intellectual discussion. The only differenceits entirely student-run! The event is inspired by the visionaries that come to share their unique stories and valuable perspectives. It serves as a unique platform to establish positive dialogue, create unexpected connections, and inspire powerful momentum.",Group,http://tedxduke.com/,0,0,
89,Acts2 at Duke,"Were a campus fellowship committed to following Jesus together by finding practical ways to love each other and our neighbors. Were inspired by the first Christians described in Acts  believers who share life together, take care of each other, and invite others to learn about the good news of Christ. God wants to transform our world, here and now, and were finding that when you truly love your neighbor as yourself, peace and justice become a reality. Isn't that what Jesus came to bring for everyone? Not sure about that? Come find out! Acts2 at Duke welcomes anyone who is seeking a genuine purpose for their life.",Group,http://www.acts2oncampus.org/,0,0,
90,AgapÃ© Campus Christian Fellowship,"To provide undergrad and graduate students at Duke with a loving and encouraging space for bible study, worship, prayer, and fellowship.",Group,http://www.agapeharvestchurch.org/,0,0,
91,"Alpha Kappa Alpha Sorority, Inc.Â®","The purpose of the Iota Mu Chapter is to cultivate and encourage high scholastic and ethical standards, to promote unity and friendship among college women, to study and help alleviate problems concerning girls and women in order to improve their social stature, to maintain a progressive interest in college life, and to be of service to all mankind as stated in the Constitution and Bylaws of Alpha Kappa Alpha Sorority, IncorporatedÂ®.",Group,http://www.akaiotamu.com/,0,0,
92,The Alexander Hamilton Society,"The Hamilton Society will build a national network of these outstanding students and facultyâin effect, a âvirtual universityââwhich will provide its member with vital, constructive debates on foreign, economic, and national security policy, as well as opportunities for students to flourish intellectually, professionally, and personally.",Group,http://www.alexanderhamiltonsociety.org/,0,0,
93,Club Baseball,"To know about it, reach out to people from the reference link.",Group,http://www.basebal.imsports.duke.edu/,1,0,
